Name,State,Latitude,Longitude,Flora,Fauna,Area (sq km),Established,Description
Jim Corbett National Park,Uttarakhand,29.530,78.774,Sal Forest,Bengal Tiger,520.82,1936,India's first national park.
Kaziranga National Park,Assam,26.577,93.171,Tall Grasslands,One-Horned Rhinoceros,430.00,1974,World-famous for rhinoceros conservation.
Ranthambore National Park,Rajasthan,26.017,76.502,Dry Deciduous Forest,Tiger,392.00,1980,One of the best tiger reserves in India.
Sundarbans National Park,West Bengal,21.949,88.878,Mangrove Forest,Royal Bengal Tiger,1330.12,1984,Largest mangrove forest in the world.
Bandhavgarh National Park,Madhya Pradesh,23.685,81.047,Mixed Forest,Tiger,448.84,1968,Known for high tiger density.
Kanha National Park,Madhya Pradesh,22.334,80.611,Sal & Bamboo,Barasingha,940.00,1955,Inspiration for The Jungle Book.
Periyar National Park,Kerala,9.462,77.236,Evergreen Forest,Elephant,925.00,1982,Famous for boating and elephant sightings.
Gir National Park,Gujarat,21.124,70.824,Dry Deciduous Forest,Asiatic Lion,1412.13,1965,Only natural habitat of Asiatic lions.
Bandipur National Park,Karnataka,11.654,76.627,Moist Deciduous Forest,Elephant,874.20,1974,Part of the Nilgiri Biosphere Reserve.
Hemis National Park,Ladakh,33.730,77.600,Alpine Vegetation,Snow Leopard,4400.00,1981,India's largest national park.