Name,State,Latitude,Longitude,Flora,Fauna,Area (sq km),Established,Description,Entry Fee,Timings,Best Season,Nearest Airport,Nearest Railway Station,Nearest Bus Stand,Nearest City,Google Maps,Official Website,Image
Jim Corbett National Park,Uttarakhand,29.530,78.774,"Sal Forest, Teak, Bamboo, Haldu, Rohini","Bengal Tiger, Asian Elephant, Leopard, Sambar Deer, Gharial",520.82,1936,India's first national park and one of the oldest tiger reserves.,200,6:00 AM - 5:30 PM,November to June,Pantnagar Airport,Ramnagar Railway Station,Ramnagar Bus Stand,Ramnagar,https://maps.google.com/?q=Jim+Corbett+National+Park,https://corbettnationalpark.in,jimcorbett.png
Kaziranga National Park,Assam,26.577,93.171,"Tall Elephant Grass, Cane, Evergreen Forest","One-Horned Rhinoceros, Bengal Tiger, Wild Buffalo, Swamp Deer",430.00,1974,Famous for conserving the Indian one-horned rhinoceros.,100,7:00 AM - 4:00 PM,November to April,Jorhat Airport,Furkating Railway Station,Kohora Bus Stand,Kohora,https://maps.google.com/?q=Kaziranga+National+Park,https://kaziranganationalpark.in,kaziranga.png
Ranthambore National Park,Rajasthan,26.017,76.502,"Dry Deciduous Forest, Banyan, Dhonk Trees","Royal Bengal Tiger, Leopard, Sloth Bear, Hyena",392.00,1980,One of India's best places for tiger sightings.,250,6:30 AM - 5:30 PM,October to June,Jaipur Airport,Sawai Madhopur Railway Station,Sawai Madhopur Bus Stand,Sawai Madhopur,https://maps.google.com/?q=Ranthambore+National+Park,https://ranthamborenationalpark.com,ranthambore.png
Sundarbans National Park,West Bengal,21.949,88.878,"Mangrove Forest, Sundari Trees, Palm","Royal Bengal Tiger, Saltwater Crocodile, Fishing Cat, Spotted Deer",1330.12,1984,World's largest mangrove ecosystem and UNESCO World Heritage Site.,150,8:00 AM - 5:00 PM,September to March,Kolkata Airport,Canning Railway Station,Godhkhali Bus Stand,Godhkhali,https://maps.google.com/?q=Sundarbans+National+Park,https://wbfdc.com,sundarbans.png
Bandhavgarh National Park,Madhya Pradesh,23.685,81.047,"Mixed Deciduous Forest, Bamboo, Sal","Tiger, Leopard, Barking Deer, Nilgai",448.84,1968,Known for one of the highest tiger densities in India.,200,6:00 AM - 6:00 PM,October to June,Jabalpur Airport,Umaria Railway Station,Umaria Bus Stand,Umaria,https://maps.google.com/?q=Bandhavgarh+National+Park,https://bandhavgarhnationalpark.in,bandhavgarh.png
Kanha National Park,Madhya Pradesh,22.334,80.611,"Sal Forest, Bamboo, Grasslands","Barasingha, Tiger, Leopard, Wild Dog, Gaur",940.00,1955,Inspired Rudyard Kipling's Jungle Book.,200,6:00 AM - 6:00 PM,October to June,Jabalpur Airport,Gondia Railway Station,Mandla Bus Stand,Mandla,https://maps.google.com/?q=Kanha+National+Park,https://kanhanationalparkonline.in,kanha.png
Periyar National Park,Kerala,9.462,77.236,"Evergreen Forest, Teak, Rosewood","Asian Elephant, Tiger, Sambar Deer, Nilgiri Langur",925.00,1982,Famous for its scenic lake and elephant sightings.,45,6:00 AM - 6:00 PM,October to March,Madurai Airport,Kottayam Railway Station,Kumily Bus Stand,Kumily,https://maps.google.com/?q=Periyar+National+Park,https://periyartigerreserve.org,periyar.png
Gir National Park,Gujarat,21.124,70.824,"Dry Deciduous Forest, Acacia, Teak","Asiatic Lion, Leopard, Chital, Hyena",1412.13,1965,The only natural habitat of the Asiatic Lion.,150,6:00 AM - 6:00 PM,December to March,Rajkot Airport,Junagadh Railway Station,Sasan Gir Bus Stand,Sasan Gir,https://maps.google.com/?q=Gir+National+Park,https://girlion.gujarat.gov.in,gir.png
Bandipur National Park,Karnataka,11.654,76.627,"Moist Deciduous Forest, Sandalwood, Bamboo","Elephant, Tiger, Gaur, Deer",874.20,1974,Part of the Nilgiri Biosphere Reserve.,250,6:30 AM - 5:30 PM,October to May,Mysore Airport,Mysore Railway Station,Gundlupet Bus Stand,Gundlupet,https://maps.google.com/?q=Bandipur+National+Park,https://bandipurnationalpark.in,bandipur.png
Hemis National Park,Ladakh,33.730,77.600,"Alpine Shrubs, Juniper, Willow","Snow Leopard, Blue Sheep, Tibetan Wolf, Himalayan Marmot",4400.00,1981,India's largest national park and famous for snow leopards.,20,8:00 AM - 5:00 PM,May to September,Leh Airport,Leh Railway (Nearest Future),Leh Bus Stand,Leh,https://maps.google.com/?q=Hemis+National+Park,https://leh.nic.in,hemis.png